"Coffee Cups/Day","Hours Studied","Previous Scores","Extracurricular Activities","Sleep Hours","Sample Question Papers Practiced","Performance Index"
0,2,56,-1,4,5,28.
4,9,70,1,8,7,66.
-1,1,49,1,6,3,21.
3,8,88,-1,7,4,84.
1,4,61,-1,6,6,42.
1,4,69,-1,5,7,51.
2,5,88,-1,8,6,74.
4,8,60,-1,4,7,50.
1,5,75,-1,9,3,62.
4,8,92,-1,6,0,90.
-1,1,62,1,4,5,32.
4,9,77,-1,5,4,71.
3,6,51,1,7,3,37.
1,3,64,-1,6,1,42.
4,8,93,-1,9,0,85.
3,9,96,1,5,8,96.
3,6,59,1,8,1,51.
3,7,88,1,6,8,82.
-1,1,88,1,4,5,64.
2,5,81,-1,6,5,67.
2,5,46,-1,5,1,32.
1,4,68,1,5,5,50.
2,6,87,1,4,2,73.
4,7,68,-1,9,6,62.
3,9,52,-1,5,9,48.
-1,1,42,1,6,3,20.
2,6,41,-1,9,8,33.
4,7,55,-1,4,4,43.
2,3,69,1,5,9,49.
3,8,77,1,5,2,70.
2,5,45,1,6,0,28.
4,9,84,1,5,0,82.
1,5,46,-1,6,3,29.
3,9,44,1,8,9,42.
2,4,95,-1,9,9,79.
4,9,46,-1,6,3,41.
1,5,73,-1,7,8,61.
3,9,71,-1,5,7,69.
2,3,88,1,8,3,68.
1,4,52,-1,9,5,38.
3,9,69,1,4,6,67.
3,6,64,-1,7,9,54.
1,2,60,1,4,7,39.
3,7,99,-1,7,3,93.
1,2,98,-1,8,0,76.
0,2,60,1,9,4,39.
0,1,67,1,8,0,38.
2,3,87,1,8,3,69.
3,6,97,1,7,6,88.
4,8,59,-1,6,6,54.
4,9,73,-1,9,0,68.
4,7,44,-1,4,8,33.
1,4,57,-1,6,1,40.
3,6,99,-1,6,4,87.
1,5,78,1,5,5,64.
3,8,82,1,4,0,70.
-1,1,96,-1,7,1,70.
0,1,96,1,5,6,72.
3,6,50,-1,5,5,38.
1,2,93,-1,8,5,71.
1,5,56,1,7,5,40.
-1,1,87,-1,6,6,58.
4,7,84,1,9,9,77.
0,1,61,-1,6,8,38.
2,4,76,1,6,8,60.
4,9,59,-1,8,1,57.
0,1,87,-1,6,1,63.
2,4,99,1,4,4,82.
3,6,93,-1,6,9,84.
2,6,93,-1,6,6,84.
3,8,87,1,4,2,77.
-1,1,87,1,8,2,61.
3,7,85,1,5,3,73.
0,1,45,-1,7,2,15.
4,7,73,1,8,2,64.
1,3,53,1,6,7,33.
3,8,87,1,5,6,78.
2,3,62,-1,7,6,43.
-1,1,59,1,7,9,34.
4,8,52,-1,7,1,48.
1,3,86,-1,4,8,66.
0,2,83,1,4,5,60.
-1,1,80,-1,5,2,53.
2,3,71,-1,6,8,51.
0,2,65,-1,5,8,43.
1,2,89,-1,6,5,68.
3,6,92,-1,8,9,80.
-1,1,53,1,7,5,26.
0,2,91,1,7,7,70.
2,6,96,1,4,7,85.
1,3,75,-1,8,5,57.
2,4,47,1,9,6,30.
-1,1,79,-1,8,3,56.
4,8,61,-1,6,0,53.
4,7,61,-1,8,3,52.
3,7,55,-1,4,7,47.
1,3,66,1,6,7,48.
2,3,95,-1,5,1,78.
0,2,99,1,6,6,79.
-1,1,99,1,5,0,75.
3,7,49,-1,9,1,40.
4,7,64,1,6,7,59.
1,2,70,1,7,9,49.
4,7,60,1,9,3,48.
4,8,66,-1,5,2,60.
-1,1,56,-1,4,1,29.
4,9,72,-1,9,5,68.
4,7,70,1,9,3,63.
1,3,89,1,9,2,71.
4,8,81,-1,5,2,76.
3,7,65,-1,5,9,57.
3,8,60,1,6,2,54.
2,6,75,-1,7,7,61.
4,9,40,-1,9,8,34.
2,5,43,1,6,8,32.
1,3,43,1,6,4,23.
2,3,65,-1,7,0,44.
-1,1,43,-1,6,9,18.
3,8,88,-1,7,4,82.
1,2,48,-1,4,0,18.
1,3,69,1,7,8,52.
3,8,90,-1,8,9,88.
4,8,84,-1,7,7,78.
2,4,43,1,7,6,26.
2,4,44,1,8,1,26.
1,5,84,1,7,1,74.
3,6,62,1,5,3,52.
1,5,55,1,6,8,40.
4,7,61,1,6,8,54.
0,2,76,1,4,7,51.
3,7,47,-1,4,4,35.
4,7,87,-1,8,6,79.
0,1,72,1,5,8,45.
4,7,94,-1,4,2,81.
1,5,99,-1,6,3,87.
2,3,77,1,4,1,56.
1,3,82,1,4,8,65.
2,4,55,1,7,6,38.
1,2,44,1,4,5,17.
0,2,55,1,8,4,35.
-1,1,46,-1,6,6,20.
1,5,90,-1,8,2,75.
2,4,40,1,8,4,26.
0,2,48,1,9,1,23.
1,3,57,-1,5,4,38.
4,7,84,-1,9,6,78.
3,7,97,-1,9,9,91.
2,4,86,1,7,6,67.
1,5,42,1,8,8,31.
1,5,63,-1,5,2,49.
2,6,67,1,6,7,57.
4,9,49,-1,6,4,45.
0,2,48,1,5,6,22.
1,5,52,1,8,0,35.
2,3,87,-1,8,0,65.
1,4,74,-1,7,3,53.
3,6,93,1,7,4,79.
4,8,62,-1,9,9,57.
0,1,86,1,6,2,58.
3,8,56,-1,7,5,50.
3,7,85,-1,5,2,75.
0,1,46,1,6,4,17.
0,2,91,1,8,0,70.
1,3,55,1,6,2,36.
0,1,92,-1,4,6,61.
4,9,79,-1,6,2,78.
4,8,75,1,7,4,71.
1,2,59,-1,5,6,36.
3,9,63,1,8,1,63.
4,7,86,1,8,2,78.
3,9,44,1,7,3,39.
3,6,84,1,7,4,70.
2,6,45,1,7,8,34.
2,4,67,-1,4,8,49.
0,2,98,-1,5,3,71.
3,7,44,1,4,8,34.
1,5,88,-1,7,3,77.
3,6,78,1,5,1,67.
1,2,77,-1,7,9,52.
2,5,41,-1,5,0,25.
1,4,82,1,8,6,68.
4,9,78,-1,4,3,76.
2,6,93,1,9,7,85.
0,2,60,-1,7,7,40.
0,1,79,1,7,7,56.
2,5,76,1,6,5,62.
3,9,98,1,9,8,99.
2,6,57,1,8,3,46.
4,7,93,1,7,4,86.
1,5,87,1,4,3,73.
2,6,85,-1,8,4,74.
2,5,51,1,7,1,37.
4,9,56,-1,4,4,50.
2,6,76,1,6,9,65.
4,8,85,-1,6,7,79.
0,2,77,1,4,8,53.
4,9,54,1,8,6,55.
1,5,46,-1,4,6,31.
3,7,53,1,9,5,47.
-1,1,89,1,4,1,63.
2,5,40,1,6,9,27.
1,2,77,1,6,9,53.
3,6,42,-1,6,8,33.
0,1,76,1,9,4,56.
2,3,83,-1,7,5,65.
1,5,70,1,9,0,55.
2,4,82,1,7,4,67.
1,3,52,1,9,5,32.
1,5,87,1,5,9,73.
4,8,57,-1,7,1,45.
2,4,56,1,8,6,43.
0,1,56,1,8,3,32.
3,7,50,1,6,4,42.
3,8,59,-1,9,2,55.
1,3,49,-1,4,4,28.
3,6,68,-1,6,3,58.
0,2,87,-1,4,9,67.
3,7,73,1,9,5,66.
3,8,56,1,6,1,46.
2,6,93,-1,6,2,79.
3,6,91,1,8,9,83.
1,5,81,1,4,0,63.
3,8,52,-1,5,6,45.
0,1,83,1,5,8,63.
1,4,86,-1,6,1,70.
2,4,78,-1,9,6,58.
1,3,66,-1,6,2,50.
1,3,93,-1,8,4,77.
1,4,92,-1,4,5,75.
0,1,65,-1,6,7,40.
0,2,67,1,9,3,43.
4,9,52,1,5,1,47.
1,2,51,1,4,2,22.
2,5,83,-1,6,7,71.
3,9,67,-1,4,6,63.
3,9,41,-1,8,5,37.
3,8,76,1,5,4,72.
-1,1,96,1,9,4,73.
-1,1,96,-1,4,0,72.
4,9,73,-1,5,5,68.
3,8,62,-1,6,8,59.
4,9,97,-1,9,7,97.
3,7,91,-1,9,9,83.
1,3,84,1,7,0,65.
2,3,68,-1,4,5,47.
0,2,74,-1,5,2,51.
1,5,50,-1,4,5,32.
1,3,87,-1,6,8,63.
3,6,72,1,6,5,60.
0,2,90,-1,9,7,70.
2,3,50,-1,9,5,32.
2,5,48,-1,5,5,32.
0,1,53,1,8,6,29.
-1,1,48,-1,4,9,21.
4,9,78,1,4,3,74.
3,7,87,-1,6,7,81.
0,1,42,-1,4,3,11.
4,8,68,-1,5,6,65.
1,3,58,-1,7,0,37.
4,8,75,-1,9,8,75.
1,5,71,-1,6,9,61.
-1,1,46,-1,9,8,17.
4,7,94,-1,9,6,87.
2,5,67,-1,9,7,52.
2,6,83,1,7,1,71.
2,6,57,1,4,9,46.
3,8,99,1,8,9,99.
3,9,44,1,9,6,40.
0,2,62,-1,5,0,42.
3,9,94,-1,9,2,91.
4,9,61,1,9,5,57.
3,7,65,1,4,4,58.
0,1,81,1,5,4,55.
4,7,51,1,4,8,46.
1,5,79,-1,9,5,64.
2,6,58,1,4,2,45.
4,7,86,-1,4,1,78.
1,5,40,-1,6,8,24.
3,7,42,-1,7,9,36.
3,9,66,1,8,3,65.
2,3,57,1,7,4,35.
4,8,89,-1,7,8,87.
0,2,69,1,5,4,45.
4,7,41,1,6,6,35.
0,2,44,-1,6,1,18.
2,4,68,-1,4,1,46.
3,7,72,1,7,3,63.
2,3,81,-1,8,7,62.
1,2,59,1,5,1,35.
4,7,69,1,6,9,63.
0,1,81,-1,4,6,58.
3,8,44,-1,8,0,37.
1,3,89,1,7,8,74.
0,2,60,-1,8,9,40.
1,3,97,1,6,5,78.
1,5,54,-1,5,0,38.
3,8,59,1,7,9,55.
3,7,47,-1,5,5,39.
4,7,88,1,9,4,84.
3,7,70,1,8,4,60.
4,8,51,-1,8,4,47.
-1,1,60,1,4,3,34.
1,4,69,1,7,6,54.
3,6,66,1,8,8,56.
3,9,83,1,6,3,82.
0,2,65,1,9,1,45.
0,1,72,-1,6,1,45.
0,2,65,1,5,1,43.
3,7,65,1,9,6,57.
2,3,75,1,9,3,56.
0,2,79,-1,6,3,56.
4,7,40,-1,8,0,30.
1,2,98,1,6,3,75.
2,3,54,1,7,5,33.
3,7,89,-1,5,1,80.
1,4,40,-1,9,3,27.
-1,1,50,1,7,6,26.
2,5,94,-1,8,8,81.
4,9,41,1,8,1,41.
4,8,40,1,6,7,34.
4,9,70,1,4,5,68.
3,9,83,-1,9,7,83.
3,7,55,1,9,1,44.
1,4,93,1,4,0,75.
2,5,61,-1,8,6,52.
0,1,81,1,8,8,56.
0,1,57,1,9,8,37.
2,3,86,1,5,1,67.
4,8,56,-1,9,3,50.
1,2,69,-1,8,0,46.
1,4,49,1,8,6,31.
1,2,74,-1,5,1,51.
2,5,97,1,7,3,82.
4,9,60,1,7,1,58.
-1,1,55,-1,5,0,31.
1,5,45,-1,5,6,29.
4,9,42,1,7,5,40.
-1,1,80,-1,7,1,51.
4,9,82,-1,7,3,79.
3,8,60,-1,7,2,52.
2,4,52,1,9,2,36.
2,5,57,1,9,2,43.
2,5,97,-1,6,3,81.
3,6,93,1,5,0,81.
3,7,99,1,4,0,84.
4,8,63,-1,6,6,55.
3,8,66,1,4,4,64.
0,2,93,-1,4,2,68.
4,9,43,1,8,8,41.
3,7,61,1,5,4,53.
1,4,63,-1,9,9,50.
2,4,79,1,6,2,65.
4,8,84,-1,5,8,78.
2,4,49,1,7,0,31.
2,6,41,1,5,8,30.
2,5,79,1,4,4,64.
1,3,45,-1,9,5,26.
1,2,87,1,7,1,66.
4,9,57,1,5,7,55.
3,9,56,-1,5,2,52.
-1,1,77,-1,9,0,57.
2,3,84,1,4,6,68.
4,8,62,-1,7,2,57.
3,6,85,-1,4,3,75.
2,5,69,-1,9,4,54.
2,5,97,-1,5,0,82.
3,6,60,1,6,8,51.
3,7,49,-1,6,6,43.
-1,1,95,1,8,1,68.
4,9,82,1,6,0,77.
1,3,52,1,9,1,33.
1,4,51,-1,9,2,37.
0,1,48,-1,9,2,23.
2,3,43,1,7,7,26.
0,2,78,1,8,4,56.
0,2,63,-1,7,8,42.
-1,1,93,-1,6,2,65.
4,8,73,1,6,5,66.
2,3,78,-1,5,3,57.
1,3,80,-1,7,7,59.
2,6,44,1,4,0,28.
4,8,54,-1,5,3,46.
3,9,89,-1,7,6,84.
3,9,43,1,9,8,42.
1,4,90,-1,8,0,73.
2,5,91,1,7,7,77.
0,2,97,-1,8,1,74.
3,9,78,1,8,3,75.
3,8,97,-1,6,3,94.
2,3,47,1,4,7,27.
4,9,88,-1,7,1,89.
1,3,84,-1,4,6,62.
3,9,63,-1,8,2,59.
1,2,92,1,6,8,73.
3,9,67,-1,4,4,57.
4,8,94,1,5,7,90.
4,9,82,-1,8,4,80.
1,5,66,-1,5,0,50.
0,2,40,-1,9,8,18.
3,8,73,-1,4,9,68.
3,6,56,-1,4,6,39.
3,8,76,-1,4,3,67.
1,5,77,1,9,6,69.
0,2,65,1,7,4,43.
2,6,96,-1,8,9,84.
1,5,63,-1,8,8,50.
2,5,78,-1,8,1,65.
0,1,99,-1,7,3,74.
0,2,60,-1,4,5,35.
3,8,69,1,4,4,61.
1,3,86,-1,9,0,64.
1,3,90,-1,5,8,66.
3,8,87,1,7,8,81.
3,8,96,1,6,2,93.
1,2,52,1,7,3,28.
3,8,76,-1,9,3,71.
0,1,42,-1,5,9,13.
2,6,71,-1,5,7,59.
4,8,74,-1,5,5,67.
1,3,58,-1,4,1,35.
4,8,53,1,6,3,46.
-1,1,87,-1,5,0,59.
3,9,61,-1,8,2,57.
4,9,56,-1,4,3,51.
1,5,98,1,6,7,80.
2,4,43,-1,8,2,22.
3,6,84,-1,6,4,71.
4,7,79,-1,9,0,73.
2,5,58,-1,6,3,40.
4,9,76,1,8,1,75.
1,3,41,1,7,3,24.
4,7,54,1,6,4,45.
2,5,41,-1,7,2,25.
3,7,50,1,6,5,42.
1,2,84,1,9,1,63.
2,4,62,-1,8,4,44.
0,2,49,-1,6,3,26.
4,7,42,1,5,4,31.
1,2,44,1,9,8,26.
0,1,42,1,5,5,15.
3,9,77,1,9,6,77.
0,1,52,-1,9,7,31.
3,8,81,-1,6,8,75.
0,2,58,1,8,4,34.
4,8,79,1,8,7,74.
1,3,89,1,4,1,68.
3,6,74,-1,8,9,64.
1,3,63,-1,7,8,43.
4,7,63,-1,6,1,54.
4,9,56,1,5,4,53.
1,2,79,-1,8,5,56.
2,5,49,1,5,3,34.
3,6,41,1,4,7,27.
1,4,83,-1,6,9,66.
2,4,62,1,8,2,41.
1,4,45,-1,5,4,25.
0,2,41,-1,9,1,20.
2,4,60,1,8,2,45.
0,1,94,1,4,7,70.
2,6,95,-1,9,4,86.
-1,1,74,-1,5,2,46.
2,6,88,-1,5,4,73.
0,1,68,-1,6,8,42.
3,6,46,-1,6,2,27.
3,8,68,-1,5,9,64.
0,2,92,-1,9,6,71.
0,2,76,1,6,7,56.
2,4,62,-1,5,4,43.
2,3,72,1,9,2,50.
1,4,47,1,7,5,31.
4,7,51,-1,8,2,42.
-1,1,85,-1,7,8,60.
3,6,87,-1,7,1,76.
1,3,49,-1,8,2,28.
3,7,54,-1,5,6,45.
1,2,92,1,5,9,71.
0,2,63,1,6,7,44.
2,4,65,-1,4,4,48.
-1,1,86,-1,5,4,57.
2,3,81,-1,8,4,61.
4,9,92,-1,4,3,86.
4,7,99,1,8,8,95.
3,7,78,1,8,5,70.
1,4,97,1,8,7,81.
0,2,42,-1,4,7,18.
1,4,41,-1,7,4,24.
3,6,45,-1,9,8,32.
2,3,60,1,8,1,40.
-1,1,48,1,6,7,25.
4,8,49,1,5,2,41.
2,5,75,-1,9,6,66.
1,5,98,1,5,8,83.
1,4,42,-1,5,4,22.
2,6,80,1,4,7,70.
2,3,63,-1,6,3,42.
4,9,61,-1,6,0,56.
2,5,88,-1,9,0,72.
2,3,53,-1,6,5,31.
-1,1,81,1,6,7,60.
2,6,84,1,6,9,74.
1,2,83,1,9,1,62.
1,3,66,-1,7,3,44.
-1,1,72,1,6,2,46.
3,9,99,-1,6,8,96.
3,8,61,1,4,2,51.
0,2,68,1,4,7,43.
4,8,58,-1,6,6,51.
3,9,58,-1,7,0,58.
-1,1,45,-1,6,7,23.
2,5,84,1,6,8,67.
4,8,58,-1,6,7,50.
0,2,52,1,8,9,31.
1,4,98,1,7,9,83.
4,7,65,1,5,0,55.
1,3,61,-1,6,6,44.
1,5,60,1,5,8,45.
3,8,75,-1,7,4,73.
2,3,95,-1,6,1,76.
1,4,41,1,5,7,23.
4,9,86,1,9,8,84.
4,7,83,1,5,6,73.
-1,1,69,1,7,4,48.
2,4,66,-1,6,7,50.
2,4,46,-1,8,5,30.
4,9,59,-1,7,3,51.
3,6,89,-1,8,0,76.
4,9,70,-1,6,5,66.
3,6,62,-1,5,7,50.
3,6,52,-1,9,2,40.
2,5,56,-1,9,6,42.
1,5,43,-1,7,6,29.
1,2,96,1,7,8,77.
4,8,53,1,7,0,45.
4,8,59,-1,4,4,49.
0,1,99,-1,9,7,74.
4,8,52,1,9,2,45.
2,5,42,1,6,4,27.
0,2,65,1,4,0,44.
1,2,65,-1,7,8,42.
3,6,57,1,7,3,43.
3,9,71,1,8,4,68.
-1,1,53,1,4,2,29.
2,6,86,1,5,1,73.
3,9,42,1,9,6,39.
4,8,40,-1,6,4,30.
2,6,65,1,5,9,53.
2,3,63,-1,5,2,38.
3,8,88,1,6,1,82.
4,9,74,1,7,9,72.
0,1,53,1,9,5,24.
4,9,42,1,8,9,44.
3,6,52,1,7,5,45.
3,6,86,-1,7,2,75.
2,4,89,-1,4,8,75.
0,1,53,-1,5,0,26.
4,8,60,-1,5,2,49.
0,2,65,-1,9,0,42.
-1,1,42,-1,5,6,14.
0,2,90,-1,8,1,64.
0,1,79,1,8,3,54.
0,1,43,-1,8,3,16.
3,9,75,1,6,7,73.
-1,1,90,1,9,3,67.
2,4,82,-1,8,2,69.
2,6,40,1,4,9,28.
4,7,79,1,4,2,67.
0,2,86,-1,7,4,62.
2,6,72,1,7,5,60.
3,7,46,-1,9,6,43.
0,2,92,1,7,4,70.
1,2,91,-1,7,6,70.
3,7,91,1,4,3,84.
-1,1,95,-1,7,4,72.
3,8,50,1,4,5,44.
1,3,66,-1,8,8,46.
3,6,53,1,8,5,41.
4,9,61,1,9,9,58.
3,6,55,-1,6,0,44.
3,9,85,1,7,6,89.
4,7,51,-1,8,2,45.
4,9,88,1,8,5,87.
1,2,85,1,9,1,61.
4,8,49,-1,5,6,41.
4,8,63,1,5,0,57.
0,2,85,-1,9,1,62.
2,4,57,1,4,8,39.
3,7,61,1,6,8,54.
1,4,48,1,9,6,33.
1,4,56,1,5,1,42.
3,6,77,-1,6,4,70.
2,6,79,-1,8,3,67.
2,3,97,1,9,1,80.
3,9,52,1,4,1,44.
1,2,89,-1,6,9,69.
3,6,76,1,5,7,66.
3,7,45,-1,8,4,35.
4,9,60,1,9,7,61.
2,3,90,1,7,1,68.
1,3,75,-1,8,1,55.
4,7,46,1,5,2,36.
1,4,75,-1,9,9,56.
3,8,64,-1,5,7,58.
4,7,50,-1,7,7,40.
1,5,83,-1,8,2,68.
4,7,53,-1,6,0,43.
1,3,84,-1,6,6,61.
1,2,68,1,8,3,45.
3,6,49,-1,6,2,36.
0,2,89,-1,9,4,67.
2,3,87,1,8,5,67.
2,6,44,-1,8,0,29.
2,5,47,1,5,8,31.
4,8,85,-1,4,5,74.
3,9,44,-1,5,2,37.
1,3,97,-1,6,0,79.
2,3,99,1,4,8,76.
2,3,63,1,8,1,45.
2,6,79,-1,6,9,65.
0,1,96,-1,7,5,72.
4,7,65,1,6,5,62.
-1,1,45,1,4,2,19.
2,5,55,1,4,5,39.
3,8,99,-1,8,1,93.
1,4,75,1,9,7,62.
1,5,51,1,7,0,37.
1,4,50,1,8,5,34.
1,4,42,1,7,0,23.
4,8,83,1,7,8,79.
1,2,76,1,8,8,51.
-1,1,45,1,6,5,18.
2,3,58,-1,5,5,41.
3,9,57,1,7,8,57.
1,4,55,-1,4,4,36.
1,5,62,-1,8,8,47.
0,2,82,1,9,4,65.
1,4,76,-1,6,3,57.
1,2,48,-1,7,1,22.
0,2,42,1,9,1,20.
2,4,47,-1,6,0,27.
3,6,77,1,8,9,64.
4,7,43,1,9,2,32.
1,3,51,1,4,0,29.
1,3,83,1,7,5,62.
2,6,70,1,7,6,56.
2,3,64,1,9,8,43.
1,2,92,1,6,6,70.
3,8,55,-1,8,3,49.
2,5,81,1,5,3,68.
-1,1,93,-1,7,7,66.
1,3,53,1,4,3,31.
3,8,52,1,7,0,44.
1,4,80,1,7,8,65.
3,7,46,-1,5,2,36.
1,2,51,-1,5,0,27.
4,7,76,-1,8,8,71.
1,5,89,-1,7,9,76.
1,5,43,-1,7,9,31.
3,6,41,-1,6,4,26.
4,9,74,1,6,8,69.
3,6,97,1,9,2,90.
3,8,83,-1,9,5,79.
4,7,42,-1,4,6,33.
4,9,43,-1,4,4,40.
2,4,77,-1,6,7,58.
0,2,51,-1,9,9,28.
3,7,58,1,4,5,50.
3,6,49,1,7,5,37.
-1,1,40,1,9,6,15.
3,9,56,1,5,7,50.
4,9,55,1,9,1,55.
0,2,48,1,7,6,25.
1,3,96,1,6,8,79.
1,5,92,1,8,0,79.
2,5,48,-1,8,0,36.
0,1,98,-1,6,6,69.
3,8,94,1,7,4,83.
3,8,48,1,4,0,44.
1,4,51,1,9,0,36.
3,7,94,-1,9,1,84.
2,3,80,-1,4,9,58.
3,6,54,1,8,8,44.
3,9,41,-1,6,2,36.
-1,1,50,1,6,8,23.
1,5,50,1,5,5,33.
1,4,47,1,8,9,31.
4,8,94,1,6,5,90.
-1,1,71,1,5,6,45.
4,9,45,-1,4,9,40.
3,6,92,1,8,7,81.
2,4,59,1,8,2,47.
3,9,78,1,6,7,75.
1,5,74,1,6,5,61.
1,5,47,-1,7,5,37.
1,5,89,1,4,2,75.
0,1,88,1,4,5,63.
-1,1,82,-1,9,7,61.
3,8,73,1,5,6,70.
4,8,96,1,5,9,91.
2,6,92,1,7,9,80.
1,4,98,1,9,6,83.
1,2,95,-1,4,2,72.
0,2,58,1,5,9,35.
3,9,46,1,4,2,41.
1,5,70,-1,4,4,57.
1,4,57,1,9,4,43.
0,1,79,1,5,8,55.
4,7,53,-1,6,8,42.
1,3,78,1,6,9,59.
2,6,99,-1,9,4,90.
1,5,92,1,5,4,79.
2,5,99,-1,7,5,89.
1,5,98,1,8,7,87.
0,1,75,1,9,5,50.
-1,1,56,-1,4,5,33.
2,3,76,1,9,8,58.
2,4,83,-1,8,0,68.
1,5,48,-1,9,3,33.
1,2,97,-1,5,9,73.
3,8,59,-1,4,9,50.
0,2,84,1,8,1,59.
4,9,96,-1,6,8,93.
1,2,67,1,7,2,47.
3,9,89,1,9,9,89.
3,7,59,-1,9,1,47.
3,8,80,-1,8,7,77.
1,2,75,1,7,3,53.
3,7,92,-1,9,1,87.
2,6,66,1,6,3,53.
2,4,47,-1,8,6,28.
4,7,71,1,5,6,66.
1,4,40,1,4,0,23.
0,2,56,-1,6,0,28.
4,7,96,1,7,2,89.
3,8,48,1,7,1,38.
1,2,59,-1,6,2,37.
2,5,84,-1,5,3,66.
-1,1,71,-1,9,6,44.
4,7,41,-1,5,1,33.
3,8,71,-1,9,6,67.
3,6,84,1,9,4,76.
2,5,48,1,7,7,33.
3,6,69,-1,9,7,59.
0,2,59,1,6,4,39.
0,1,77,1,9,9,55.
3,7,99,1,6,7,96.
4,7,40,1,4,8,30.
1,2,99,1,7,6,80.
1,2,96,-1,5,5,75.
-1,1,44,-1,8,6,19.
4,8,74,1,5,6,71.
3,8,75,1,5,2,67.
-1,1,40,-1,8,5,16.
4,8,53,-1,7,5,45.
3,9,48,-1,9,8,44.
2,4,69,-1,4,0,50.
-1,1,63,1,5,6,37.
-1,1,43,-1,9,0,15.
2,3,89,-1,5,9,71.
2,5,53,1,7,3,42.
2,5,64,-1,7,6,49.
3,9,43,-1,6,5,41.
0,2,64,-1,7,5,40.
0,2,49,-1,7,4,25.
2,6,74,-1,5,6,62.
3,9,94,1,4,8,93.
-1,1,46,1,5,5,19.
3,9,81,1,9,9,77.
3,9,52,1,7,6,52.
3,9,43,1,6,8,41.
1,5,89,-1,4,6,69.
3,9,82,-1,6,5,82.
1,4,96,-1,8,2,82.
1,2,75,-1,6,0,49.
3,6,95,-1,6,9,82.
1,4,53,-1,9,8,40.
3,6,57,-1,7,6,48.
2,3,47,-1,9,2,28.
2,6,71,-1,7,9,60.
1,2,66,-1,9,8,43.
1,2,81,-1,7,2,59.
3,9,76,-1,7,2,71.
3,7,62,-1,7,6,52.
1,3,46,1,6,1,27.
-1,1,51,-1,8,9,28.
4,8,64,1,7,6,62.
2,6,42,-1,8,6,27.
3,7,65,-1,8,0,55.
3,9,43,-1,5,9,39.
2,5,81,1,5,1,66.
-1,1,75,1,4,4,46.
4,7,54,-1,9,3,47.
1,5,71,-1,5,2,59.
2,3,68,-1,7,9,46.
4,9,49,-1,8,7,47.
-1,1,60,1,9,6,39.
0,1,93,1,4,8,67.
-1,1,55,-1,5,2,26.
1,3,86,1,6,9,68.
3,6,58,1,9,0,49.
1,3,68,-1,4,8,45.
3,8,91,-1,7,8,88.
0,2,90,-1,9,0,67.
4,9,57,1,8,7,54.
2,3,97,-1,7,9,75.
1,5,83,1,7,0,67.
4,8,96,-1,9,5,91.
0,2,55,-1,6,8,30.
3,6,40,1,6,2,29.
1,5,87,1,9,5,75.
3,9,41,1,9,2,41.
1,5,95,1,9,4,84.
0,2,54,1,8,6,31.
1,5,78,1,5,9,64.
2,4,67,-1,7,3,48.
3,7,40,1,9,3,29.
3,6,44,1,5,6,33.
0,2,81,-1,8,4,59.
2,5,61,1,7,0,45.
3,7,92,1,5,9,86.
3,7,75,-1,7,1,65.
2,5,85,-1,6,5,73.
4,9,52,-1,9,8,50.
2,4,40,1,6,6,20.
1,3,55,-1,4,3,36.
2,4,94,1,8,1,78.
1,5,80,-1,9,3,65.
2,6,61,1,5,4,48.
2,3,71,-1,7,1,49.
1,2,55,-1,4,0,32.
2,4,90,-1,8,3,69.
2,5,54,1,8,5,41.
2,4,97,1,8,0,77.
1,3,85,-1,5,0,60.
3,8,91,-1,9,8,88.
1,4,81,-1,6,4,61.
0,2,92,-1,4,1,69.
1,2,51,1,5,1,29.
0,1,99,-1,7,3,73.
2,4,40,-1,5,1,22.
3,9,92,1,7,3,93.
4,7,56,1,7,5,46.
3,7,80,-1,8,6,74.
3,7,94,-1,5,5,83.
4,8,90,1,6,3,84.
0,1,96,1,7,9,71.
4,8,89,-1,8,2,82.
1,4,67,1,6,3,49.
2,4,46,1,5,4,27.
1,4,48,-1,6,3,29.
3,6,61,-1,5,2,50.
3,7,65,1,7,0,53.
3,6,92,-1,4,2,80.
-1,1,51,-1,4,4,21.
4,8,46,-1,9,5,39.
3,7,85,-1,9,3,74.
3,6,86,-1,7,0,76.
2,6,54,1,6,9,43.
2,5,77,1,5,6,61.
2,6,60,-1,4,8,48.
3,9,53,-1,5,5,48.
4,9,41,-1,7,5,40.
4,8,47,1,6,8,40.
4,9,84,1,5,3,80.
4,8,94,1,6,4,90.
4,8,45,1,4,4,36.
-1,1,76,-1,5,4,48.
1,5,76,-1,8,7,60.
1,4,96,1,4,0,76.
1,2,72,1,6,9,47.
3,8,80,-1,7,9,73.
1,3,45,-1,8,2,22.
2,4,91,-1,9,7,74.
4,7,65,-1,5,8,58.
3,9,78,-1,9,1,76.
0,2,80,1,4,3,59.
2,3,76,-1,5,7,55.
2,4,53,1,5,4,33.
-1,1,76,1,8,0,50.
4,7,47,-1,8,5,37.
0,2,78,1,8,8,58.
1,5,52,1,8,8,36.
-1,1,52,-1,7,0,25.
1,3,79,1,6,3,62.
0,2,82,-1,8,0,57.
0,1,67,-1,4,6,39.
4,7,97,1,5,2,84.
2,5,57,-1,9,1,45.
0,1,96,-1,8,7,72.
3,6,58,1,4,8,45.
1,5,77,-1,7,6,63.
2,3,71,1,4,5,50.
4,7,61,1,9,9,53.
3,9,41,-1,9,5,36.
4,9,99,1,4,8,97.
